periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,FrmJbC,EarnBeg,sEmp,sFrmJbC,sEarnBeg
Q,U,C,06001,S,44-45,A00,1,A01,A0,A0,E0,0,0,2011,4,541,275,725,1,1,1
Q,U,C,06001,S,44-45,A00,1,A02,A0,A0,E0,0,0,2011,4,2611,391,1024,1,1,1
Q,U,C,06001,S,44-45,A00,1,A03,A0,A0,E0,0,0,2011,4,3047,183,1559,1,1,1
Q,U,C,06001,S,44-45,A00,1,A04,A0,A0,E0,0,0,2011,4,8856,213,2768,1,1,1
Q,U,C,06001,S,44-45,A00,1,A05,A0,A0,E0,0,0,2011,4,6381,27,4239,1,1,1
Q,U,C,06001,S,44-45,A00,1,A06,A0,A0,E0,0,0,2011,4,5948,18,4672,1,1,1
Q,U,C,06001,S,44-45,A00,1,A07,A0,A0,E0,0,0,2011,4,3921,-29,3880,1,1,1
Q,U,C,06001,S,44-45,A00,1,A08,A0,A0,E0,0,0,2011,4,1460,-10,3617,1,1,1
Q,U,C,06001,S,44-45,A00,2,A01,A0,A0,E0,0,0,2011,4,697,459,604,1,1,1
Q,U,C,06001,S,44-45,A00,2,A02,A0,A0,E0,0,0,2011,4,3152,522,846,1,1,1
Q,U,C,06001,S,44-45,A00,2,A03,A0,A0,E0,0,0,2011,4,3025,235,1342,1,1,1
Q,U,C,06001,S,44-45,A00,2,A04,A0,A0,E0,0,0,2011,4,7061,276,2300,1,1,1
Q,U,C,06001,S,44-45,A00,2,A05,A0,A0,E0,0,0,2011,4,5200,203,3088,1,1,1
Q,U,C,06001,S,44-45,A00,2,A06,A0,A0,E0,0,0,2011,4,5522,159,3022,1,1,1
Q,U,C,06001,S,44-45,A00,2,A07,A0,A0,E0,0,0,2011,4,3582,54,2590,1,1,1
Q,U,C,06001,S,44-45,A00,2,A08,A0,A0,E0,0,0,2011,4,1230,26,2055,1,1,1
Q,U,C,06001,S,72,A00,1,A01,A0,A0,E0,0,0,2011,4,788,127,685,1,1,1
Q,U,C,06001,S,72,A00,1,A02,A0,A0,E0,0,0,2011,4,2191,17,910,1,1,1
Q,U,C,06001,S,72,A00,1,A03,A0,A0,E0,0,0,2011,4,2223,44,1222,1,1,1
Q,U,C,06001,S,72,A00,1,A04,A0,A0,E0,0,0,2011,4,5989,-58,1674,1,1,1
Q,U,C,06001,S,72,A00,1,A05,A0,A0,E0,0,0,2011,4,4346,41,2135,1,1,1
Q,U,C,06001,S,72,A00,1,A06,A0,A0,E0,0,0,2011,4,3702,-49,2480,1,1,1
Q,U,C,06001,S,72,A00,1,A07,A0,A0,E0,0,0,2011,4,2393,-29,2222,1,1,1
Q,U,C,06001,S,72,A00,1,A08,A0,A0,E0,0,0,2011,4,1226,-8,1658,1,1,1
Q,U,C,06001,S,72,A00,2,A01,A0,A0,E0,0,0,2011,4,1151,143,621,1,1,1
Q,U,C,06001,S,72,A00,2,A02,A0,A0,E0,0,0,2011,4,2942,4,878,1,1,1
Q,U,C,06001,S,72,A00,2,A03,A0,A0,E0,0,0,2011,4,2887,-55,1167,1,1,1
Q,U,C,06001,S,72,A00,2,A04,A0,A0,E0,0,0,2011,4,6407,-55,1558,1,1,1
Q,U,C,06001,S,72,A00,2,A05,A0,A0,E0,0,0,2011,4,4218,-26,1803,1,1,1
Q,U,C,06001,S,72,A00,2,A06,A0,A0,E0,0,0,2011,4,3724,-6,1865,1,1,1
Q,U,C,06001,S,72,A00,2,A07,A0,A0,E0,0,0,2011,4,2199,-4,1848,1,1,1
Q,U,C,06001,S,72,A00,2,A08,A0,A0,E0,0,0,2011,4,1172,-12,1565,1,1,1
