periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,FrmJbC,EarnBeg,sEmp,sFrmJbC,sEarnBeg
Q,U,C,06001,S,44-45,A00,1,A00,A0,A0,E1,0,0,2011,4,4520,41,2522,1,1,1
Q,U,C,06001,S,44-45,A00,1,A00,A0,A0,E2,0,0,2011,4,6332,77,3041,1,1,1
Q,U,C,06001,S,44-45,A00,1,A00,A0,A0,E3,0,0,2011,4,8804,77,3612,1,1,1
Q,U,C,06001,S,44-45,A00,1,A00,A0,A0,E4,0,0,2011,4,6910,24,5415,1,1,1
Q,U,C,06001,S,44-45,A00,1,A00,A0,A0,E5,0,0,2011,4,6199,850,1260,1,1,1
Q,U,C,06001,S,44-45,A00,2,A00,A0,A0,E1,0,0,2011,4,3926,131,1943,1,1,1
Q,U,C,06001,S,44-45,A00,2,A00,A0,A0,E2,0,0,2011,4,5610,175,2213,1,1,1
Q,U,C,06001,S,44-45,A00,2,A00,A0,A0,E3,0,0,2011,4,7486,221,2606,1,1,1
Q,U,C,06001,S,44-45,A00,2,A00,A0,A0,E4,0,0,2011,4,5572,191,3825,1,1,1
Q,U,C,06001,S,44-45,A00,2,A00,A0,A0,E5,0,0,2011,4,6874,1219,1039,1,1,1
Q,U,C,06001,S,72,A00,1,A00,A0,A0,E1,0,0,2011,4,4446,-30,1730,1,1,1
Q,U,C,06001,S,72,A00,1,A00,A0,A0,E2,0,0,2011,4,4431,-38,1861,1,1,1
Q,U,C,06001,S,72,A00,1,A00,A0,A0,E3,0,0,2011,4,4990,-28,2068,1,1,1
Q,U,C,06001,S,72,A00,1,A00,A0,A0,E4,0,0,2011,4,3789,-8,2529,1,1,1
Q,U,C,06001,S,72,A00,1,A00,A0,A0,E5,0,0,2011,4,5202,189,1008,1,1,1
Q,U,C,06001,S,72,A00,2,A00,A0,A0,E1,0,0,2011,4,4333,-17,1483,1,1,1
Q,U,C,06001,S,72,A00,2,A00,A0,A0,E2,0,0,2011,4,4418,-56,1622,1,1,1
Q,U,C,06001,S,72,A00,2,A00,A0,A0,E3,0,0,2011,4,5098,-40,1759,1,1,1
Q,U,C,06001,S,72,A00,2,A00,A0,A0,E4,0,0,2011,4,3871,10,2034,1,1,1
Q,U,C,06001,S,72,A00,2,A00,A0,A0,E5,0,0,2011,4,6980,94,954,1,1,1
Q,U,C,06007,S,44-45,A00,1,A00,A0,A0,E1,0,0,2011,4,480,5,2427,1,1,1
Q,U,C,06007,S,44-45,A00,1,A00,A0,A0,E2,0,0,2011,4,1042,-1,2942,1,1,1
Q,U,C,06007,S,44-45,A00,1,A00,A0,A0,E3,0,0,2011,4,1208,-1,3572,1,1,1
Q,U,C,06007,S,44-45,A00,1,A00,A0,A0,E4,0,0,2011,4,603,-2,4766,1,1,1
Q,U,C,06007,S,44-45,A00,1,A00,A0,A0,E5,0,0,2011,4,814,63,1203,1,1,1
Q,U,C,06007,S,44-45,A00,2,A00,A0,A0,E1,0,0,2011,4,410,12,1701,1,1,1
Q,U,C,06007,S,44-45,A00,2,A00,A0,A0,E2,0,0,2011,4,874,10,2015,1,1,1
Q,U,C,06007,S,44-45,A00,2,A00,A0,A0,E3,0,0,2011,4,1028,10,2188,1,1,1
Q,U,C,06007,S,44-45,A00,2,A00,A0,A0,E4,0,0,2011,4,440,5,2853,1,1,1
Q,U,C,06007,S,44-45,A00,2,A00,A0,A0,E5,0,0,2011,4,898,126,1048,1,1,1
Q,U,C,06007,S,72,A00,1,A00,A0,A0,E1,0,0,2011,4,399,-11,1420,1,1,1
Q,U,C,06007,S,72,A00,1,A00,A0,A0,E2,0,0,2011,4,549,-11,1437,1,1,1
Q,U,C,06007,S,72,A00,1,A00,A0,A0,E3,0,0,2011,4,573,-30,1571,1,1,1
Q,U,C,06007,S,72,A00,1,A00,A0,A0,E4,0,0,2011,4,286,-10,1798,1,1,1
Q,U,C,06007,S,72,A00,1,A00,A0,A0,E5,0,0,2011,4,1157,24,844,1,1,1
Q,U,C,06007,S,72,A00,2,A00,A0,A0,E1,0,0,2011,4,412,-11,1185,1,1,1
Q,U,C,06007,S,72,A00,2,A00,A0,A0,E2,0,0,2011,4,539,-5,1253,1,1,1
Q,U,C,06007,S,72,A00,2,A00,A0,A0,E3,0,0,2011,4,604,-19,1384,1,1,1
Q,U,C,06007,S,72,A00,2,A00,A0,A0,E4,0,0,2011,4,295,-7,1546,1,1,1
Q,U,C,06007,S,72,A00,2,A00,A0,A0,E5,0,0,2011,4,1506,16,800,1,1,1
Q,U,C,06013,S,44-45,A00,1,A00,A0,A0,E1,0,0,2011,4,2764,58,2440,1,1,1
Q,U,C,06013,S,44-45,A00,1,A00,A0,A0,E2,0,0,2011,4,4277,84,2931,1,1,1
Q,U,C,06013,S,44-45,A00,1,A00,A0,A0,E3,0,0,2011,4,5792,112,3526,1,1,1
Q,U,C,06013,S,44-45,A00,1,A00,A0,A0,E4,0,0,2011,4,3885,95,4715,1,1,1
Q,U,C,06013,S,44-45,A00,1,A00,A0,A0,E5,0,0,2011,4,4513,558,1205,1,1,1
Q,U,C,06013,S,44-45,A00,2,A00,A0,A0,E1,0,0,2011,4,2639,83,1820,1,1,1
Q,U,C,06013,S,44-45,A00,2,A00,A0,A0,E2,0,0,2011,4,4022,128,2100,1,1,1
Q,U,C,06013,S,44-45,A00,2,A00,A0,A0,E3,0,0,2011,4,5273,168,2359,1,1,1
