periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,FrmJbC,EarnBeg,sEmp,sFrmJbC,sEarnBeg
Q,U,C,06001,S,44-45,A00,0,A00,A1,A1,E0,0,0,2011,4,25606,1079,3329,1,1,1
Q,U,C,06001,S,44-45,A00,0,A00,A1,A2,E0,0,0,2011,4,13321,859,2156,1,1,1
Q,U,C,06001,S,44-45,A00,0,A00,A2,A1,E0,0,0,2011,4,4624,406,2084,1,1,1
Q,U,C,06001,S,44-45,A00,0,A00,A2,A2,E0,0,0,2011,4,512,36,1916,1,1,1
Q,U,C,06001,S,44-45,A00,0,A00,A3,A1,E0,0,0,2011,4,192,11,2226,1,1,1
Q,U,C,06001,S,44-45,A00,0,A00,A3,A2,E0,0,0,2011,4,617,25,2008,1,1,1
Q,U,C,06001,S,44-45,A00,0,A00,A4,A1,E0,0,0,2011,4,13460,348,2986,1,1,1
Q,U,C,06001,S,44-45,A00,0,A00,A4,A2,E0,0,0,2011,4,492,29,2263,1,1,1
Q,U,C,06001,S,44-45,A00,0,A00,A5,A1,E0,0,0,2011,4,524,36,2374,1,1,1
Q,U,C,06001,S,44-45,A00,0,A00,A5,A2,E0,0,0,2011,4,113,6,2214,1,1,1
Q,U,C,06001,S,44-45,A00,0,A00,A7,A1,E0,0,0,2011,4,1923,132,2522,1,1,1
Q,U,C,06001,S,44-45,A00,0,A00,A7,A2,E0,0,0,2011,4,849,41,1997,1,1,1
Q,U,C,06001,S,72,A00,0,A00,A1,A1,E0,0,0,2011,4,17616,9,1825,1,1,1
Q,U,C,06001,S,72,A00,0,A00,A1,A2,E0,0,0,2011,4,11076,45,1525,1,1,1
Q,U,C,06001,S,72,A00,0,A00,A2,A1,E0,0,0,2011,4,3122,42,1371,1,1,1
Q,U,C,06001,S,72,A00,0,A00,A2,A2,E0,0,0,2011,4,406,13,1494,1,1,1
Q,U,C,06001,S,72,A00,0,A00,A3,A1,E0,0,0,2011,4,133,-1,1428,1,1,1
Q,U,C,06001,S,72,A00,0,A00,A3,A2,E0,0,0,2011,4,561,15,1442,1,1,1
Q,U,C,06001,S,72,A00,0,A00,A4,A1,E0,0,0,2011,4,11659,-34,1617,1,1,1
Q,U,C,06001,S,72,A00,0,A00,A4,A2,E0,0,0,2011,4,349,-7,1545,1,1,1
Q,U,C,06001,S,72,A00,0,A00,A5,A1,E0,0,0,2011,4,353,4,1590,1,1,1
Q,U,C,06001,S,72,A00,0,A00,A5,A2,E0,0,0,2011,4,81,2,1587,1,1,1
Q,U,C,06001,S,72,A00,0,A00,A7,A1,E0,0,0,2011,4,1227,6,1501,1,1,1
Q,U,C,06001,S,72,A00,0,A00,A7,A2,E0,0,0,2011,4,974,-16,1351,1,1,1
Q,U,C,06007,S,44-45,A00,0,A00,A1,A1,E0,0,0,2011,4,5544,122,2690,1,1,1
Q,U,C,06007,S,44-45,A00,0,A00,A1,A2,E0,0,0,2011,4,1129,65,1863,1,1,1
Q,U,C,06007,S,44-45,A00,0,A00,A2,A1,E0,0,0,2011,4,189,11,1842,1,1,1
Q,U,C,06007,S,44-45,A00,0,A00,A2,A2,E0,0,0,2011,4,25,2,1649,1,1,1
Q,U,C,06007,S,44-45,A00,0,A00,A3,A1,E0,0,0,2011,4,65,6,1870,1,1,1
Q,U,C,06007,S,44-45,A00,0,A00,A3,A2,E0,0,0,2011,4,67,5,1655,1,1,1
Q,U,C,06007,S,44-45,A00,0,A00,A4,A1,E0,0,0,2011,4,442,3,2304,1,1,1
Q,U,C,06007,S,44-45,A00,0,A00,A4,A2,E0,0,0,2011,4,24,0,2781,1,1,9
Q,U,C,06007,S,44-45,A00,0,A00,A5,A1,E0,0,0,2011,4,28,0,1958,1,1,1
Q,U,C,06007,S,44-45,A00,0,A00,A5,A2,E0,0,0,2011,4,5,1,1981,9,1,9
Q,U,C,06007,S,44-45,A00,0,A00,A7,A1,E0,0,0,2011,4,213,12,2005,1,1,1
Q,U,C,06007,S,44-45,A00,0,A00,A7,A2,E0,0,0,2011,4,65,0,1520,1,1,1
Q,U,C,06007,S,72,A00,0,A00,A1,A1,E0,0,0,2011,4,4155,-44,1201,1,1,1
Q,U,C,06007,S,72,A00,0,A00,A1,A2,E0,0,0,2011,4,1132,-32,1167,1,1,1
Q,U,C,06007,S,72,A00,0,A00,A2,A1,E0,0,0,2011,4,128,12,1057,1,1,1
Q,U,C,06007,S,72,A00,0,A00,A2,A2,E0,0,0,2011,4,25,2,1134,1,1,1
Q,U,C,06007,S,72,A00,0,A00,A3,A1,E0,0,0,2011,4,65,-7,1096,1,1,1
Q,U,C,06007,S,72,A00,0,A00,A3,A2,E0,0,0,2011,4,56,5,1079,1,1,1
Q,U,C,06007,S,72,A00,0,A00,A4,A1,E0,0,0,2011,4,462,4,1024,1,1,1
Q,U,C,06007,S,72,A00,0,A00,A4,A2,E0,0,0,2011,4,23,2,1219,1,1,1
